localId,TalkerId,Type,SubType,IsSender,CreateTime,Status,StrContent,StrTime,Remark,NickName,Sender
4001,38,1,0,0,1704067200,2,New year, same terrible service everywhere 😤,2024-01-01 08:00:00,Rant Chat,Grace,wxid_grace404
4002,38,1,0,1,1704067260,2,What happened this time? Another delivery disaster?,2024-01-01 08:01:00,Rant Chat,Henry,wxid_henry505
4003,38,1,0,0,1704067320,2,Worse! Restaurant lost my reservation for New Year's dinner!,2024-01-01 08:02:00,Rant Chat,Grace,wxid_grace404
4004,38,1,0,1,1704067380,2,No way! Did they at least try to fix it? 😠,2024-01-01 08:03:00,Rant Chat,Henry,wxid_henry505
4005,38,1,0,0,1704067440,2,Just a "sorry" and "maybe next time" 🙄,2024-01-01 08:04:00,Rant Chat,Grace,wxid_grace404
4006,38,1,0,1,1704067500,2,That's ridiculous! You should leave them a bad review 👎,2024-01-01 08:05:00,Rant Chat,Henry,wxid_henry505
4007,38,1,0,0,1728136461,2,Worse! Waited an hour and they forgot half the items 😤,2024-03-15 10:54:21,Rant Chat,Grace,wxid_grace404
4008,38,1,0,1,1728136662,2,That's ridiculous! Did you complain to the manager?,2024-03-15 10:57:42,Rant Chat,Henry,wxid_henry505
4009,38,1,0,0,1728214695,2,They didn't even care! Just gave a half-hearted apology 😡,2024-03-15 11:38:15,Rant Chat,Grace,wxid_grace404
4010,38,1,0,1,1728214715,2,Customer service these days is just getting worse and worse,2024-03-15 11:38:35,Rant Chat,Henry,wxid_henry505
4011,38,1,0,0,1728214721,2,And don't get me started on the prices! Highway robbery! 💢,2024-03-15 11:38:41,Rant Chat,Grace,wxid_grace404
4012,38,1,0,1,1728214797,2,Never going back there again. Total waste of money 👎,2024-03-15 11:39:57,Rant Chat,Henry,wxid_henry505
4013,38,1,0,0,1728214876,2,Should post a review to warn others. This is unacceptable!,2024-03-15 11:41:16,Rant Chat,Grace,wxid_grace404
4014,38,1,0,1,1728214896,2,Do it! People need to know how bad it is 😤,2024-03-15 11:41:36,Rant Chat,Henry,wxid_henry505
4495,38,1,0,0,1719792000,2,This year has been nothing but disappointments 😫,2024-06-30 20:00:00,Rant Chat,Grace,wxid_grace404
4496,38,1,0,1,1719792060,2,Tell me about it! Everything's getting worse and more expensive 💸,2024-06-30 20:01:00,Rant Chat,Henry,wxid_henry505
4497,38,1,0,0,1719792120,2,And don't get me started on work! The new manager is terrible! 🤬,2024-06-30 20:02:00,Rant Chat,Grace,wxid_grace404
4498,38,1,0,1,1719792180,2,Maybe we should both look for new jobs 😤,2024-06-30 20:03:00,Rant Chat,Henry,wxid_henry505
4499,38,1,0,0,1719792240,2,At least we can rant to each other! 😅,2024-06-30 20:04:00,Rant Chat,Grace,wxid_grace404
4500,38,1,0,1,1719792300,2,True! Misery loves company! 🤝,2024-06-30 20:05:00,Rant Chat,Henry,wxid_henry505
4501,38,1,0,0,1704153600,2,First day back at work and my computer crashes! 😤,2024-01-02 08:00:00,Rant Chat,Grace,wxid_grace404
4502,38,1,0,1,1704153660,2,Classic! IT probably won't fix it until next week 🙄,2024-01-02 08:01:00,Rant Chat,Henry,wxid_henry505
4503,38,1,0,0,1704153720,2,And my boss keeps asking for the report! How?! 😫,2024-01-02 08:02:00,Rant Chat,Grace,wxid_grace404
4504,38,1,0,1,1704153780,2,They never understand our struggles! So frustrating! 😠,2024-01-02 08:03:00,Rant Chat,Henry,wxid_henry505
4998,38,1,0,0,1719878340,2,Sometimes I wonder if complaining is all we do 😅,2024-06-30 19:59:00,Rant Chat,Grace,wxid_grace404
4999,38,1,0,1,1719878400,2,Hey, it's therapeutic! Better than keeping it all in! 😂,2024-06-30 20:00:00,Rant Chat,Henry,wxid_henry505
5000,38,1,0,0,1719878460,2,True! Thanks for always listening to my rants! 🤗,2024-06-30 20:01:00,Rant Chat,Grace,wxid_grace404
5001,38,1,0,0,1705305600,2,Hi, I placed an order (#874562) two weeks ago and it still hasn't arrived. The estimated delivery date was January 10th. Can you check what's going on?,2024-01-15 10:00:00,Customer Service,Customer,wxid_cust101
5002,38,1,0,1,1705305660,2,Hello! I'm so sorry for the inconvenience. Let me quickly pull up your order details. One moment please.,2024-01-15 10:01:00,Customer Service,Support,wxid_supp202
5003,38,1,0,0,1705305720,2,Sure, thanks.,2024-01-15 10:02:00,Customer Service,Customer,wxid_cust101
5004,38,1,0,1,1705305780,2,Okay, I see your order was dispatched on January 5th but seems to be delayed at the local sorting center. I'll file an inquiry right away and escalate this to our logistics team.,2024-01-15 10:03:00,Customer Service,Support,wxid_supp202
5005,38,1,0,0,1705305840,2,This is really frustrating. I needed the package for a family event last weekend. It's too late now. 😠,2024-01-15 10:04:00,Customer Service,Customer,wxid_cust101
5995,38,1,0,0,1704067200,2,2024 was a wild ride. Started off horribly with you guys, but honestly, you turned it around completely. Appreciate that. 🙏,2024-12-31 23:58:00,Customer Service,Customer,wxid_cust101
5996,38,1,0,1,1704067260,2,Thank you so much for sticking with us. We wish you a wonderful 2025 full of happiness and success! 🎉,2024-12-31 23:59:00,Customer Service,Support,wxid_supp202
5997,38,1,0,0,1704067320,2,You too! Looking forward to more great service in 2025! 😊,2024-12-31 23:59:30,Customer Service,Customer,wxid_cust101
5006,38,1,0,0,1705564800,2,Three more days have passed. Still no package. Honestly, this is getting ridiculous! 😡,2024-01-18 10:00:00,Customer Service,Customer,wxid_cust101
5007,38,1,0,1,1705564860,2,I'm really sorry. I've escalated your case twice now. It seems the package might be lost. If you prefer, we can either issue a full refund or resend the order.,2024-01-18 10:01:00,Customer Service,Support,wxid_supp202
5008,38,1,0,0,1705564920,2,I don't even want the stuff anymore. I needed it LAST week. Refund, please. 😤,2024-01-18 10:02:00,Customer Service,Customer,wxid_cust101
5009,38,1,0,1,1705564980,2,Understood. I'm initiating the refund process right now. It should appear on your account within 3-5 business days.,2024-01-18 10:03:00,Customer Service,Support,wxid_supp202
5010,38,1,0,0,1705565040,2,Fine. Next time, don't make promises you can't keep. 🙄,2024-01-18 10:04:00,Customer Service,Customer,wxid_cust101
5020,38,1,0,0,1706169600,2,It's been a week. Still no refund. Seriously??? 😠,2024-01-25 10:00:00,Customer Service,Customer,wxid_cust101
5021,38,1,0,1,1706169660,2,I apologize for the delay. I see the request was processed on our end, but there's a delay from the payment processor. Let me escalate this immediately.,2024-01-25 10:01:00,Customer Service,Support,wxid_supp202
5022,38,1,0,0,1706169720,2,Unbelievable. Escalating again? Are you guys just trained to say "escalate" every time someone complains? 😤,2024-01-25 10:02:00,Customer Service,Customer,wxid_cust101
5030,38,1,0,0,1709640000,2,Hi again... despite my last experience, I'm considering another purchase. Do you have any special offers?,2024-03-05 10:00:00,Customer Service,Customer,wxid_cust101
5031,38,1,0,1,1709640060,2,It's so good to hear from you! Yes, we have a spring promotion: 20% off all orders over $50. Plus, I'll add a free gift as a personal apology for the last incident. 🎁,2024-03-05 10:01:00,Customer Service,Support,wxid_supp202
5032,38,1,0,0,1709640120,2,Hmm. That's tempting. Maybe I'll give you another shot.,2024-03-05 10:02:00,Customer Service,Customer,wxid_cust101
5040,38,1,0,0,1710316800,2,Package arrived today! Right on time. No issues. Thank you! 😊,2024-03-13 10:00:00,Customer Service,Customer,wxid_cust101
5041,38,1,0,1,1710316860,2,Fantastic news! We're really happy everything went smoothly this time. Your trust means a lot to us. 🙏,2024-03-13 10:01:00,Customer Service,Support,wxid_supp202 
